chart_date,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
1963,0.6889887789901872,0.4841365672455187,161384.42071479998,0.41710043974409655,0.08105619220439994,0.21255742708972428,-12.27564379435279,0.050473885173655274,115.43950562509464,0.5741125767215359
1964,0.6961606068651407,0.46371781092518205,175346.817759415,0.41315332047419323,0.04643187314394643,0.24458005952263714,-12.0288390428922,0.06420637116988347,114.40961395901455,0.5326196095098696
1965,0.6255172195226029,0.4749527985124655,175829.73064326707,0.44217641509307637,0.10281504077826904,0.24419548126952775,-11.61926280824871,0.06199481585997016,116.28391687078401,0.5438657613395549
1966,0.5452023228522062,0.4850735607554449,176710.84432677535,0.4733057400928063,0.1560693931235533,0.24669190077013312,-11.600079623483976,0.06839867367619226,116.18415492027056,0.5730615819261715
1967,0.51911313854389,0.48921204554920256,176680.05388642286,0.4942321343696421,0.15431877477418265,0.2011477754735143,-11.022763158843496,0.052533920190893264,117.50273113320695,0.5616474582583914
1968,0.5116113092793182,0.48517405252847207,193799.22978234867,0.46664547807185947,0.13986886627611278,0.21969798421611844,-11.88894925229375,0.06623842552702444,116.41085613544227,0.5480842019587506
1969,0.4641086003220991,0.4900946888220745,219103.96379603972,0.48527242270451487,0.11441875468847791,0.24255972518331026,-12.197716136698732,0.06305892103306568,117.7446866117105,0.5697626700139661
1970,0.4432349771847107,0.4846490188352616,233056.94002782236,0.514125153292201,0.11785131776801569,0.2554475785497942,-11.577799632625348,0.06362127426621746,118.23365363386353,0.5681444737121301
1971,0.42654499199232804,0.4912996194909591,251476.66597497533,0.5179916448610341,0.12036040649707405,0.24507296316390165,-11.505697531217548,0.061551169568962644,119.19192589442795,0.5546975997933631
1972,0.4350247320574154,0.49673997462275465,257808.23048682994,0.5227174300140031,0.11671880633618612,0.2430837155953874,-11.770003627033079,0.06149121118937539,121.7040728858773,0.5742765614608046
1973,0.40638274455180295,0.4950792307778994,262188.41556526435,0.5254612393670828,0.12066604586402857,0.21916630400083395,-11.744825267778696,0.06627585694629817,120.75657141706462,0.5549020091418323
1974,0.38486698361754557,0.49653398882878935,293334.872254935,0.5513295191878191,0.12902328751071862,0.23404258805280498,-11.39675748087563,0.06233162680176925,121.55512548881131,0.5632784181280022
1975,0.3850123785904907,0.5016973316682393,258143.72650328118,0.537007440576657,0.11074309362599719,0.21716781612688205,-11.569347443985587,0.06104522323079177,119.50333837707564,0.5591939622047235
1976,0.3737579267261211,0.525686816106712,257937.7320013642,0.5571724701563875,0.1036499367092049,0.22916552401242968,-11.373593219563888,0.05947101744849087,119.82769831597786,0.5881772109788985
1977,0.35574261295569437,0.5305340573912949,269198.13660684443,0.5611223497104905,0.12154868110205273,0.23474918641374684,-11.488513505009522,0.06486853931774672,120.28519224297148,0.5736769673613502
1978,0.3145533155914332,0.5456942775561084,268680.1724703929,0.5655450943213265,0.13143457665021174,0.21301997194578717,-11.277928397373946,0.05773324818569885,121.04587193850963,0.5908166903196045
1979,0.27726009026181453,0.5586412970200503,275298.1822148081,0.5912354062166297,0.13132668939072453,0.22867973450567608,-11.290057691839984,0.06853040203043369,121.68453068846972,0.6061378925633968
1980,0.25481219033791735,0.5573647486517621,267669.2651787529,0.6008120103868999,0.10983037513451639,0.2028307186637394,-10.8913757237188,0.060546066777990036,122.6146127598714,0.5941778281641951
1981,0.262058362450426,0.5540345027301519,249785.40940214225,0.5896680349917006,0.10451203541285958,0.22057381649424992,-10.840594863393447,0.06016685668146898,122.62784593755843,0.581852890328794
1982,0.25902127098525857,0.5510226005561012,259583.63186209791,0.5914709224994258,0.11378659158694554,0.21912570855748392,-11.124605404637341,0.06358142945157653,121.86147813912049,0.5702432707097986
1983,0.24424861096078648,0.5822449535245419,263556.3219801301,0.5996392384247141,0.10759653861631438,0.2122336262222921,-11.184488685805203,0.06358244448965583,121.75971944649721,0.5915244345186103
1984,0.2301912123522623,0.5787875910645631,260870.8274974078,0.6280504497349888,0.0879734319742015,0.2117221029416765,-10.598120396576912,0.0592245414251975,122.47755585663886,0.6007369550937831
1985,0.2412135167730269,0.5917345990164883,268674.7571245196,0.6047001102498998,0.09810969022184911,0.20633170631230477,-11.422664788690254,0.05489995414238722,121.72810753523515,0.6008337873281948
1986,0.23357047499911232,0.5781581216727976,260724.62734988367,0.6224288609559523,0.08739338771221465,0.20099474010795124,-11.62631809786828,0.057433476979399344,121.91551193745059,0.5970295913558636
1987,0.23552492053337806,0.5811813133244147,257140.66031009986,0.6067549459610212,0.08509481159369801,0.1868644836867028,-11.941164690353006,0.05697398797025669,120.276952828065,0.5837760117613101
1988,0.20692525849590201,0.5803704576381733,267286.5662551163,0.6317236372439179,0.076691309887757,0.19602495009354692,-11.589893341718989,0.0652692082761207,119.8852702919306,0.5800154993782486
1989,0.21274836790562848,0.5938517731543715,260438.18730516575,0.6298726781379106,0.07740025613069425,0.20914232218956222,-11.497934285702694,0.07630658025689895,118.74504763328376,0.5773887315428476
1990,0.22011700028500558,0.5892911338150181,258183.1931772435,0.6244173301530909,0.06852220816219183,0.20264954738569985,-11.099558157853016,0.07643281526812189,118.8660897543614,0.5650620848179735
1991,0.2488118765099874,0.5928274317269914,254525.17183586134,0.5996817593442672,0.07174910045843072,0.2040318218982124,-11.134876285845824,0.07332105671549502,118.03957378035992,0.5518838092389463
1992,0.24069083563210936,0.5799007941842084,256662.42943271305,0.6058256597419509,0.07015259816200728,0.20842613808512975,-10.778970496585972,0.07579253569518214,117.9137996596242,0.5367826095738879
