year,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
1963.0,0.9853407406090764,0.13559232916228522,0.014329833072115371,0.40899037239541836,0.42286591121864003,0.0,0.0,0.11591235876538233,0.7685928543929359
1964.0,1.0,0.0,0.0,0.1361943089927183,0.8537655970534043,0.04304412984611204,0.1968157075800044,0.0,0.4687747619615554
1965.0,0.8556044906035256,0.07460680323374438,0.10536699620302886,0.5804227181048968,0.8485906743236478,0.11447651727602015,0.1651194201567041,0.2109492470901398,0.550036720682644
1966.0,0.691440357864325,0.14181450696918235,0.21838056391938615,1.0,0.882182740209431,0.1178221720536871,0.2569003116637238,0.1997212282801016,0.7609986215415222
1967.0,0.6381139079353105,0.16929643503496825,0.2943528658143001,0.9862073303623666,0.269336518929957,0.21850939431832941,0.029524679629649418,0.34812448668794665,0.6785229391591947
1968.0,0.622780123715553,0.1424818303532629,0.19420079217941147,0.8723602349748666,0.5189499489346034,0.06744169219055482,0.2259393648880534,0.22523602119569747,0.5805181469212263
1969.0,0.5256843003749887,0.1751576958929047,0.26182504900507997,0.671845381754377,0.8265797798373787,0.013591019600771906,0.18037030864403647,0.37535611808496255,0.737161486164554
1970.0,0.48301848890620147,0.1389953035426081,0.3665735465102963,0.6988896593283109,1.0,0.1217079271447599,0.18843002554621063,0.43038843144658057,0.7254687931373002
1971.0,0.4489040586059073,0.18315913110815393,0.38061066446074454,0.7186581211086027,0.8603981568410058,0.13428293713467238,0.15876102600258812,0.538240161604002,0.6283049516861995
1972.0,0.46623669839441106,0.2192862297530133,0.39776740783383874,0.6899668943831794,0.8336306462649747,0.08818647489043203,0.15790169500403056,0.8209775532488272,0.7697777682474838
1973.0,0.407692303347969,0.20825793192071212,0.4077286801751998,0.7210661747075923,0.511795607760104,0.09257772164983949,0.22647583667270382,0.7143380553278957,0.6297819639379516
1974.0,0.36371395835312026,0.21791836517106122,0.5016422678694987,0.7869107222391007,0.7119723464405455,0.15328269157460295,0.1699466367181537,0.8042138054736919,0.6903078586238446
1975.0,0.3640111465539111,0.2522059422830486,0.4496466270717746,0.6428857979861989,0.484903758726938,0.12318203614444752,0.15150973977721252,0.5732890474252299,0.6607945732207907
1976.0,0.34100697912838907,0.4115099674344337,0.5228548298172886,0.5870006474184688,0.6463460939081711,0.15732266838133413,0.1289480255322328,0.6097951449551259,0.8702204818478817
1977.0,0.3041835692286814,0.44369844774523476,0.5371946839729101,0.7280202296864959,0.7214804033555752,0.1372799274721755,0.2063059843291992,0.6612852209943857,0.7654452470707145
1978.0,0.219992397226174,0.5443710612242796,0.5532512527412085,0.8059086463233525,0.42908996021209933,0.17400714873951126,0.10404209901891733,0.7468982817450849,0.889292717798267
1979.0,0.14376481993862184,0.6303467444286922,0.6465187361530519,0.8050586304825202,0.6398092626129748,0.17189173190556406,0.25878825891926777,0.8187781158986911,1.0
1980.0,0.09788117723225884,0.6218697263464443,0.6812861525329112,0.6356947248264326,0.2919823677203395,0.24142409828648972,0.1443557670385342,0.9234570935933891,0.913579482632977
1981.0,0.11269239669271325,0.5997549709661377,0.6408284677624995,0.5937929003494494,0.5307352340538528,0.25028056451173886,0.13892088048640003,0.9249464627087863,0.8245224785316566
1982.0,0.10648456343763275,0.5797542018408539,0.647373767072428,0.6668647320201433,0.5112493514889341,0.2007475367129674,0.18785896467718072,0.8386932167369334,0.7406341899389227
1983.0,0.07628915733356936,0.7870886493704214,0.6770284584272576,0.6180949040938796,0.4185088149573673,0.19030355735298266,0.18787351232994018,0.8272404683796829,0.8944067052986746
1984.0,0.04755574987357797,0.7641297667944117,0.7801740407148697,0.46348951721671583,0.41162570747467714,0.29256946848239035,0.12541550032599455,0.9080315984058918,0.960974139033724
1985.0,0.07008540652554536,0.8501053735523858,0.6954017183911144,0.5433504768723713,0.3390920012284103,0.14876431210688074,0.06343497427327748,0.8236826075675708,0.9616738252156999
1986.0,0.054462983085802025,0.7599497266574494,0.7597651239086534,0.4589194983524296,0.26727726002671415,0.113246035282908,0.09974574058125683,0.844774618522941,0.9341856300755176
1987.0,0.05845788153453527,0.7800254644308843,0.7028617039445058,0.44080961103686994,0.07713914238643525,0.058335027580197533,0.09316028660850369,0.6603578904332107,0.8384184864134161
1988.0,0.0,0.774640914589205,0.7935093772593929,0.3746005924515221,0.20040327768444613,0.11959871659890506,0.2120484219744572,0.6162747619393714,0.811245938268026
1989.0,0.011902470721170408,0.8641646320152446,0.7867895562459665,0.3801861967171182,0.37691192440461047,0.1356368905978493,0.37023741825795914,0.4879448586743797,0.7922655525642872
1990.0,0.02696399970499968,0.8338793540683119,0.766984168917328,0.31023835074564304,0.2895445092165743,0.20511591672385315,0.3720466342340058,0.5015679204255965,0.7031962004431366
1991.0,0.08561649961251873,0.8573624136128651,0.6771828286495901,0.33566220136062574,0.30814453076155135,0.19895623755136074,0.3274485212978919,0.40854511107671404,0.6079731852877367
1992.0,0.06901704312404586,0.7715220781308806,0.6994879735135475,0.32308377228257584,0.3672748807840922,0.26102819895089535,0.3628700672794303,0.39438947171553146,0.49885558822829534
1993.0,0.06213395044526607,0.778103540324813,0.6974372124564184,0.3501841845496678,0.4577886785993772,0.3075535841689022,0.36942582116052286,0.4125579340036041,0.4151521109050563
1994.0,0.10363662102913324,0.7735450218842623,0.631352291214646,0.24935652251974164,0.38066473247854266,0.35224077167873613,0.5042583028188107,0.41044789510039237,0.3744597415291267
